doc_id,afinn_score,bing_score,kaggle_score,loghran_score,nrc_score
182,-0.970588235,0.020408163,0,-0.379310345,0.263157895
183,-1.093023256,-0.021276596,0,-0.380952381,0.192982456
184,1,1,0,-1,-0.5
185,1,1,0,0,-1
186,-1,-0.066666667,0,-0.333333333,0.157894737
187,1,-0.2,0,-1,-1
188,-1,-0.066666667,0,-0.384615385,0.157894737
189,0,0.333333333,0,-0.333333333,0.6
191,-1.046511628,0.019607843,0,-0.315789474,0.236363636
192,-1.142857143,-0.049180328,0,-0.32,0.232876712
193,-0.914285714,0.084745763,0,-0.454545455,0.268292683
194,0,1,0,1,0
195,-0.32,0.206349206,-5,-0.4,0.189189189
196,-0.578947368,-0.066666667,-5,-0.523809524,-0.058823529
197,-0.850574713,0,-5,-0.417721519,0.160714286
198,-1.205882353,-0.404255319,-5,-0.772727273,-0.227272727
199,-1.142857143,-0.103448276,1.7,-0.333333333,0.222222222
200,-1.065789474,-0.010526316,1.7,-0.353846154,0.239130435
201,0,1,3.35,-1,1
202,0,1,1.7,-1,0
203,0,1,1.7,0,1
204,-0.681818182,0.11627907,3.35,-0.444444444,0.217391304
205,-1.2,0.1,1.133333333,-0.384615385,0.263157895
206,-0.970588235,0.058823529,3.35,-0.4,0.282051282
207,1,1,3.35,0,0
208,-1,0,1.7,-0.384615385,0.157894737
209,-1.142857143,0,0,-0.428571429,0.222222222
210,-1.34375,-0.306122449,-5,-0.741935484,-0.243243243
211,-1.655172414,-0.476190476,0,-0.62962963,-0.225806452
212,-0.85,0.111111111,0,-0.411764706,0.3
213,0.125,0.125,0,-0.714285714,0
214,0,1,0,0,1
215,-1.142857143,0.058823529,0,-0.333333333,0.222222222
216,-0.761904762,0.111111111,0,-0.545454545,0.217391304
217,-0.933333333,0,-5,-0.333333333,0.157894737
218,0,1,0,0,0
219,0,0,0,0,0
220,-1.655172414,-0.466666667,0,-0.692307692,-0.25
221,-1.142857143,0.157894737,0,-0.333333333,0.157894737
222,-1.034482759,0.081081081,-5,-0.333333333,0.179487179
223,-1.85,-0.684210526,0,-0.789473684,-0.466666667
224,-1.111111111,-0.086956522,-1.65,-0.368421053,0.24137931
225,0.25,0.176470588,1.7,-0.857142857,0.285714286
226,-1.058823529,0.043478261,1.7,-0.333333333,0.25
227,-0.882352941,0.083333333,1.7,-0.428571429,0.166666667
228,-0.882352941,0,1.7,-0.384615385,0.217391304
229,-0.695652174,0.173913043,1.7,-0.4,0.333333333
230,0.666666667,1,-1.65,0,0.2
231,-1.090909091,-0.04,1.7,-0.315789474,0.24137931
232,-1.263157895,-0.292307692,1.7,-0.705882353,-0.105263158
233,-0.125,0.230769231,3.35,-0.8,0.2
234,0.6,-0.2,3.35,-1,-0.666666667
235,-0.869565217,0.055555556,0,-0.444444444,0.181818182
236,-1.142857143,-0.103448276,0,-0.333333333,0.189189189
237,-1.068965517,0.085714286,0,-0.448275862,0.19047619
238,-1.093023256,-0.102040816,0,-0.414634146,0.186440678
239,-1.068965517,-0.032258065,0,-0.448275862,0.15
240,-1.571428571,-0.291666667,-2.5,-0.894736842,-0.6
241,-2.133333333,-0.971428571,-0.4,-1,-0.8
242,-1.9375,-0.625,-2.5,-1,-0.857142857
243,-2.065217391,-0.890410959,-0.4,-1,-0.76744186
244,-1.483870968,-0.291666667,-2.5,-0.684210526,-0.210526316
245,-1.272727273,-0.175257732,-2.5,-0.555555556,0.04109589
246,-1.566666667,-0.446808511,-2.5,-0.642857143,-0.25
247,-0.85,0.098591549,0,-0.411764706,0.3
248,-1.142857143,-0.043478261,0,-0.297297297,0.25
249,-1.113636364,-0.063829787,0,-0.428571429,0.192982456
250,-1.016666667,-0.064516129,0,-0.28,0.2
251,-1.142857143,-0.021276596,0,-0.333333333,0.222222222
252,-1.093023256,-0.08,0,-0.315789474,0.2
253,-1.488372093,-0.418181818,0,-0.538461538,-0.06122449
254,-1.142857143,0.111111111,0,-0.333333333,0.157894737
255,-0.954545455,-0.023809524,0,-0.379310345,0.236842105
256,-1.166666667,-0.333333333,-5,-0.6,-0.1
257,-1.555555556,-0.703703704,0,-0.882352941,-0.6
258,-1.555555556,-0.703703704,0,-0.882352941,-0.6
259,0,1,0,-1,1
260,-1.488372093,-0.5,0,-0.6,-0.04
261,0,0.333333333,0,-1,0.5
262,-1.142857143,0,0,-0.428571429,0.222222222
263,-1.566666667,-0.581395349,0,-0.724137931,-0.25
264,0,1,0,-1,0
265,0,0.12,0,-0.75,0.6
266,-1.142857143,-0.058823529,0,-0.466666667,0.3
267,-1,0.185185185,-0.033333333,-0.285714286,0.181818182
268,0.125,0.266666667,-0.85,-0.818181818,0
269,0,1,3.3,0,1
270,0,1,3.3,0,1
271,0,1,3.3,0,1
272,0,1,3.3,0,1
273,-1.142857143,0.157894737,4.433333333,-0.333333333,0.263157895
274,-1.655172414,-0.56097561,3.3,-0.692307692,-0.212121212
275,-1.2,0.052631579,3.3,-0.384615385,0.3
276,0,0.5,3.3,0,0
277,-1.142857143,-0.155555556,0,-0.333333333,0.236363636
278,-1.142857143,-0.161290323,0,-0.333333333,0.243243243
279,-1.142857143,-0.125,0,-0.333333333,0.243243243
280,-0.681818182,0.086956522,0,-0.565217391,0.2
281,-1,-0.142857143,0,-0.384615385,0.238095238
282,-1.2,-0.238095238,0,-0.428571429,0.272727273
283,-1.213483146,-0.271028037,-5,-0.454545455,0.08411215
284,0,0.6,-5,1,0.333333333
285,1,0.818181818,-5,0,0.142857143
286,-0.652173913,0.358490566,-5,-0.411764706,0.333333333
287,-0.722222222,-0.043478261,-5,-0.384615385,0.130434783
288,0.75,0.111111111,-5,-1,-0.333333333
289,-1.55,-0.6,-5,-1,-0.684210526
290,0,0.333333333,-5,0,0.333333333
291,-0.864864865,0.033333333,-5,-0.4,0.209302326
292,-1.422222222,-0.379310345,-5,-0.538461538,-0.038461538
293,1,0.142857143,0,-1,-1
294,1,0,0,-1,-1
295,-2,-0.84,0,-1,-0.625
296,-1.368421053,-0.205882353,0,-0.692307692,-0.128205128
297,-1.213114754,-0.1875,0,-0.5,-0.055555556
298,-1.142857143,-0.043478261,0,-0.333333333,0.228070175
299,-1.655172414,-0.58974359,0,-0.692307692,-0.142857143
300,-1.142857143,-0.096774194,0,-0.333333333,0.210526316
301,-1.142857143,-0.103448276,0,-0.333333333,0.189189189
302,-0.970588235,0.058823529,0,-0.379310345,0.268292683
303,-2.166666667,-0.090909091,-5,-0.6,-0.5
304,-1.352941176,-0.142857143,-5,-0.384615385,0.1
305,-1.352941176,0,-5,-0.285714286,0.181818182
306,-1.5,-0.454545455,-5,-1,-1
307,-1.105263158,-0.142857143,-5,-0.652173913,0
308,-0.6,0,-3.35,-1,-0.6
309,-0.7,0,-5,-0.714285714,0.142857143
310,-2.333333333,0.384615385,-5,-1,0.333333333
311,-2.333333333,-0.333333333,-5,-1,-1
312,-0.764705882,-0.125,0,-0.333333333,0.3
313,-1.777777778,-0.315789474,0,-0.764705882,-0.6
314,0.25,0,-1.7,-1,-0.2
315,-0.875,-0.125,0,-0.333333333,0.3
316,1.8,-0.2,0,-1,0
317,0.25,-0.25,0,-1,0.333333333
318,-0.875,-0.058823529,0,-0.333333333,0.263157895
319,0.125,0.217391304,0,-0.6,1
320,1,0.6,0,1,1
321,-1.29787234,-0.423728814,0,-0.6,-0.04
322,-1.066666667,-0.166666667,-5,-0.384615385,0.179487179
323,-1.391304348,-0.366666667,-5,-0.590909091,-0.038461538
324,-0.703703704,0.213114754,-5,-0.416666667,0.363636364
325,-0.125,0.153846154,-5,-0.714285714,0.333333333
326,-0.703703704,0.213114754,-5,-0.416666667,0.391304348
327,-1.2,-0.5,-5,-0.771428571,-0.230769231
328,-0.285714286,0.181818182,-5,-0.666666667,1
329,0.666666667,0.25,0,-1,0
330,-0.5,0.166666667,0,-1,0.333333333
331,0,0.230769231,0,-1,0
332,-2.125,-0.5625,0,-1,-0.6
333,-2,0.428571429,0,0,1
334,-1.59375,-0.321428571,0,-0.6,-0.176470588
335,-1.8125,-0.714285714,0,-1,-0.846153846
336,-0.5,-0.333333333,0,-1,-1
337,-1.386363636,-0.473684211,-2.5,-0.58974359,-0.06122449
338,-1,0.142857143,0,-0.333333333,0
339,-0.761904762,0.095238095,0,-0.444444444,0.238095238
340,-2.133333333,-0.703703704,0,-0.866666667,-0.846153846
341,-1.377777778,-0.423728814,0,-0.636363636,-0.094339623
342,0,1,0,0,0
343,0,1,5,1,1
344,-1.142857143,-0.136363636,0,-0.333333333,0.2
345,-1,0.130434783,0,-0.555555556,0.2
346,-1.142857143,-0.032258065,0,-0.333333333,0.282051282
347,-1.9375,-0.857142857,0,-1,-0.857142857
348,-2.133333333,-0.916666667,0,-1,-0.846153846
349,-1.46875,-0.458333333,-2.5,-0.655172414,-0.212121212
350,-0.866666667,0,3.3,-0.384615385,0.263157895
351,1,0.142857143,0,0,-1
352,-1.533333333,-0.347826087,-5,-0.62962963,-0.212121212
353,-1.142857143,0.2,0,-0.384615385,0.238095238
354,-1.655172414,-0.631578947,0,-0.692307692,-0.225806452
355,1,-0.076923077,0,-0.333333333,-0.5
356,0,0,0,0,1
357,0,0,0,0,1
358,-1.142857143,0.111111111,0,-0.333333333,0.263157895
359,0,1,0,1,1
360,0,1,0,1,1
361,0,1,0,0,1
362,0,1,0,-1,1
363,0,1,0,1,1
364,-2.133333333,-0.846153846,0,-1,-0.5
365,-0.977777778,-0.021276596,-5,-0.351351351,0.228070175
366,-1,0,0,-0.333333333,0.263157895
367,-1,0.047619048,0,-0.333333333,0.272727273
368,2,0.666666667,0,-1,1
369,-1.9375,-0.769230769,0,-1,-0.714285714
370,1.571428571,0.454545455,0,-1,0.25
371,-0.954545455,-0.405405405,0,-1,-0.304347826
372,-0.875,-0.047619048,0,-0.384615385,0.2
373,-0.5,0.333333333,0,-1,1
374,-0.914285714,0.04,0,-0.379310345,0.282051282
375,1,-0.176470588,3.3,-0.5,-0.142857143
376,-1.40625,-0.423076923,0,-0.714285714,-0.189189189
377,-0.833333333,-0.111111111,0,-0.6,0.185185185
378,-1.9375,-0.793103448,0,-1,-0.529411765
379,1,0.272727273,-5,-0.714285714,0.142857143
380,0.833333333,0.266666667,-5,-0.142857143,0.2
381,-1,0,0,-0.333333333,0.272727273
382,-0.5,-0.333333333,0,-1,0.666666667
383,2,0.111111111,0,-1,0.666666667
384,-1.25,0,-4.166666667,-1,-1
385,-1,0.555555556,-4.375,-0.333333333,-0.6
386,-0.777777778,0.181818182,-4.166666667,-0.75,-0.2
387,-1,0.052631579,0,-0.384615385,0.3
388,-1.242424242,-0.4,-5,-0.705882353,-0.230769231
389,-1.451612903,-0.4,0,-0.642857143,-0.2
390,1.5,0.142857143,0,-1,0
391,-0.714285714,0.135135135,0,-0.411764706,0.363636364
392,-1.555555556,-0.533333333,0,-0.92,-0.523809524
393,-1.016949153,-0.029411765,0,-0.294117647,0.2
394,-1.653846154,-0.592592593,0,-0.753424658,-0.3
395,-1.142857143,-0.052631579,-3.3,-0.428571429,0.238095238
396,-1,0.1,-3.3,-0.555555556,0.166666667
397,-1,-0.083333333,-2.5,-0.428571429,0.181818182
398,-1.142857143,0,-3.3,-0.384615385,0.238095238
399,-1.142857143,0,-4.15,-0.384615385,0.181818182
400,-1.761904762,-0.476190476,-3.3,-1,-0.727272727
401,-1.4,-0.26984127,-3.3,-0.6875,-0.111111111
402,-1.454545455,-0.358490566,-3.3,-0.904761905,-0.473684211
403,-1.142857143,0,-3.3,-0.384615385,0.272727273
404,-2.125,-0.851851852,-3.3,-1,-0.625
405,-1.695652174,-0.643835616,0,-0.80952381,-0.434782609
406,-2.133333333,-0.769230769,0,-1,-0.625
407,-1.9375,-0.921568627,0,-1,-0.857142857
408,-1.4,-0.344827586,0,-0.677419355,-0.151515152
409,-1.241758242,-0.203389831,2.5,-0.46835443,0.102803738
410,-1.605263158,-0.589041096,0,-0.942857143,-0.724137931
411,-1.8125,-0.714285714,0,-1,-0.846153846
412,-1.403508772,-0.382352941,0,-0.52,0.014925373
413,-2.133333333,-0.851851852,0,-1,-0.846153846
414,-1,0.058823529,0,-0.529411765,0.142857143
415,1,1,0,-1,-0.333333333
416,-2.133333333,-0.714285714,0,-1,-0.666666667
417,-1.403508772,-0.305555556,0,-0.490196078,0.057142857
418,-1.068965517,-0.032258065,0,-0.466666667,0.2
419,-1.0625,0.1,0,-0.555555556,0.142857143
420,-1.617647059,-0.469387755,0,-0.757575758,-0.243243243
421,-2,-0.2,0,-1,-1
422,-1,0,0,-0.529411765,0.142857143
423,-0.761904762,0.05,0,-0.444444444,0.238095238
424,-1.375,-0.450980392,-5,-0.6875,-0.294117647
425,-0.75,0.04,0,-0.529411765,0.28
426,-1.068965517,-0.085714286,0,-0.428571429,0.210526316
427,-1.172413793,0,1.7,-0.379310345,0.222222222
428,-0.875,0.083333333,0,-0.473684211,0.12
429,-0.866666667,0.181818182,0,-0.285714286,0.238095238
430,-0.565217391,0.2,0,-0.333333333,0.304347826
431,-0.590909091,0.090909091,5,-0.4,0.25
432,-1.488372093,-0.444444444,0,-0.538461538,-0.038461538
433,-1,1,-1.7,1,0.333333333
434,-1.611111111,-0.411764706,-5,-1,-0.529411765
435,1,0.111111111,1.7,-0.5,0.714285714
436,2,0.8,1.7,0,1
437,-0.647058824,0.333333333,1.7,-0.5,0.2
438,-1,0,1.7,-0.333333333,0.263157895
439,1,1,1.7,0,1
440,-1.745454545,-0.631067961,1.7,-0.960784314,-0.727272727
441,0.6,-0.333333333,1.7,-1,0
442,-2,-0.853658537,0,-1,-0.853658537
443,-1.764705882,-0.757575758,0,-1,-0.866666667
444,-1.347826087,-0.407407407,0,-0.904761905,-0.555555556
445,0,1,0,-1,0
446,-1.333333333,-0.346153846,-5,-0.904761905,-0.555555556
447,-0.979591837,0.03030303,0,-0.434782609,0.233333333
448,-1.142857143,-0.066666667,0,-0.333333333,0.222222222
449,-0.5,0.2,0,-1,0
450,1.333333333,0.125,-5,-1,-0.2
451,-1.129032258,-0.043478261,-3.3,-0.307692308,0.069767442
452,-0.666666667,-0.111111111,-4.15,0,-0.5
453,-1.09375,-0.096774194,-3.3,-0.593220339,-0.047619048
454,-0.869565217,0.066666667,-3.3,-0.47826087,0.034482759
455,-1.5625,-0.608695652,-4.15,-0.692307692,-0.351351351
456,-1.944444444,-0.675675676,-3.3,-0.875,-0.894736842
457,-0.5,-0.466666667,-3.3,-1,-1
458,-1,-0.111111111,-3.3,-1,-0.75
459,-1.25,-0.083333333,-3.3,-0.333333333,0.111111111
460,-2,-0.25,-3.3,0,-0.666666667
461,-0.914285714,0.090909091,0,-0.379310345,0.25
462,-1.488372093,-0.481481481,0,-0.58974359,-0.056603774
463,-1.213114754,-0.264367816,0,-0.559322034,-0.026315789
464,-1.162790698,-0.037037037,0,-0.333333333,0.157894737
465,-1.1,0,0,-0.384615385,0.157894737
466,-1.483870968,-0.4,0,-0.696969697,-0.277777778
467,-0.914285714,0,0,-0.4,0.2
468,-0.970588235,0.056603774,0,-0.379310345,0.230769231
469,-1.655172414,-0.523809524,0,-0.692307692,-0.25
470,-1.142857143,-0.090909091,0,-0.333333333,0.25
471,-0.166666667,0.357142857,0,-0.333333333,0.714285714
472,-1.142857143,0.058823529,0,-0.333333333,0.3
473,-1.655172414,-0.409090909,0,-0.692307692,-0.117647059
474,-1.705882353,-0.6875,-5,-1,-0.666666667
475,-1.326530612,-0.287671233,0,-0.581395349,0.071428571
476,-0.166666667,0.255813953,0,-0.6,1
477,3,0.5,2.5,-1,1
478,1,-0.333333333,0,-1,0
479,1.4,0,0,-1,-0.2
480,-1.208333333,-0.178571429,-5,-0.533333333,0.025
481,-1.474576271,-0.37037037,-5,-0.76,-0.321428571
482,-0.363636364,0.151515152,-5,-0.666666667,-0.285714286
483,-1.509090909,-0.462365591,-5,-0.744680851,-0.403508772
484,-1.340206186,-0.263888889,-5,-0.573033708,-0.060869565
485,-0.793103448,0.151515152,-5,-0.391304348,0.161290323
486,-0.791666667,0.024390244,-5,-0.444444444,0.071428571
487,-0.5,0.066666667,-5,-0.666666667,-0.076923077
488,-0.8,0.05,-5,-0.545454545,0
489,-1.020833333,0,-3.35,-0.365853659,0.25
490,-1.142857143,-0.032258065,-3.35,-0.333333333,0.222222222
491,-1.157894737,-0.323943662,-3.9,-0.705882353,-0.166666667
492,-0.75,0.052631579,-3.35,-0.555555556,0.142857143
493,-0.647058824,0,-3.35,-0.6,0.090909091
494,0,1,-3.35,-1,1
495,-0.93877551,0,-3.35,-0.380952381,0.25
496,-0.85,0.135135135,-3.35,-0.411764706,0.3
497,-1.142857143,0.111111111,-3.35,-0.230769231,0.222222222
498,-2,0.2,-3.35,-1,-1
499,-1,-0.047619048,5,-0.384615385,0.2
500,-1,-0.047619048,0,-0.384615385,0.2
501,-1.303030303,-0.36,-5,-0.783783784,-0.219512195
502,-0.75,-0.043478261,0,-0.428571429,0.272727273
503,-1.375,-0.446808511,-5,-0.703703704,-0.166666667
504,1,-0.2,0,-1,-0.333333333
505,0,0,0,-1,-0.5
506,-0.75,-0.090909091,0,-0.428571429,0.2
507,-1.319148936,-0.363636364,-3.75,-0.608695652,-0.084745763
508,-1.566666667,-0.545454545,0,-0.703703704,-0.212121212
509,-0.823529412,0.0625,3.3,-0.375,0
510,0.142857143,0.28,0,-0.428571429,-0.2
511,-0.625,0.130434783,-2.5,-0.75,1
512,-1,-0.047619048,-2.5,-0.466666667,0.230769231
513,-1,-0.052631579,0,-0.384615385,0.3
514,-1.117647059,-0.2,-3.333333333,-0.384615385,0.090909091
