doc_id,afinn_score,bing_score,kaggle_score,loghran_score,nrc_score
2884,-0.880597015,-0.082352941,NaN,-0.442622951,0.219512195
2917,-0.905660377,-0.041564792,3.141666667,-0.463414634,0.204301075
2918,-0.978835979,-0.115384615,2.295833333,-0.533707865,0.15261959
2924,1,1,1.7,-1,1
2932,-0.764423077,0.142857143,3.571428571,-0.368421053,0.276923077
2935,-0.744186047,-0.01,2.886666667,-0.296969697,0.264069264
2938,-0.863453815,-0.089230769,-1.560869565,-0.548,0.132569558
2966,-0.801724138,0.072916667,NaN,-0.457943925,0.282051282
2982,-1.032258065,-0.117647059,NaN,-0.483870968,0.219512195
2985,-0.983884648,-0.095907928,-1.958219178,-0.418009479,0.178707224
3016,-1,-0.160409556,1.931034483,-0.46031746,0.116634799
3026,-0.831578947,0.040935673,1.16,-0.5,0.409395973
3042,-1.116336634,-0.139047619,1.914285714,-0.456989247,0.153398058
3052,-0.883243243,-0.125904486,0.225396825,-0.522752497,0.113835377
3069,-0.719298246,-0.109289617,2.411111111,-0.511111111,0.194444444
3070,-0.714285714,0.107142857,3.3,-0.52,0.363636364
3089,-1.073593074,-0.190443686,-2.920348837,-0.588447653,0.002843602
3091,-0.864864865,0.01734104,0.744444444,-0.37962963,0.297468354
3096,-0.691729323,-0.094252874,0.671428571,-0.504504505,0.157534247
3097,-0.734939759,0.046979866,0.828571429,-0.361111111,0.339449541
3106,-0.92173913,0.076923077,0.8,-0.346534653,0.277777778
3115,-0.673076923,0,2.233333333,-0.4,0.278688525
3120,-0.333333333,0,2.8,-0.4375,0.333333333
3139,-0.166666667,0.272727273,NaN,-0.6,1
3143,-0.051282051,0.19047619,3.883333333,-0.35,0.268292683
3149,-0.846689895,-0.052109181,-0.903225806,-0.517241379,0.274238227
3150,-0.674816626,0.055096419,0.922222222,-0.481675393,0.296875
3193,-0.952420701,-0.212479828,0.781333333,-0.577386469,0.021245421
3204,-0.694331984,-0.016776076,-0.277777778,-0.513457557,0.217460317
3221,-0.734939759,0.015503876,2.587878788,-0.433224756,0.247663551
3222,-0.893617021,-0.377990431,-1.373529412,-0.707317073,0
3232,-0.878869448,-0.065943993,2.928571429,-0.648208469,-0.001675042
3239,-0.771812081,0,-5,-0.503184713,0.172043011
3240,-0.810218978,0.0625,3.15483871,-0.428571429,0.194594595
3279,-0.948571429,-0.126582278,2.041176471,-0.509960159,0.163584637
3287,-0.666666667,-0.050526316,1.745,-0.526690391,0.125171939
3288,-1.080263158,-0.190763052,-0.669047619,-0.567934783,0.07775378
3300,-0.744791667,0.043763676,2.557534247,-0.280821918,0.248618785
3318,-1.008928571,-0.162393162,4.15,-0.537777778,0.12455516
3324,-0.915862069,-0.076225045,1.8,-0.47295423,0.094295693
3325,-0.918938307,-0.081521739,1.546052632,-0.446982055,0.195652174
3334,-0.934640523,-0.186440678,1.290909091,-0.582278481,0.09
3352,-1.004338395,-0.159277504,3.491891892,-0.418719212,0.176470588
3356,-1.009708738,-0.129568106,-0.747368421,-0.527777778,0.020242915
3368,-0.480314961,0.084337349,3.01,-0.490566038,0.346153846
3369,-0.777272727,-0.003367003,2.054545455,-0.399061033,0.176470588
3373,-0.908045977,0.008264463,3.35,-0.35,0.266055046
3387,-1.086956522,-0.198813056,-2.343103448,-0.670979667,-0.03255814
3390,-0.824,0.0875,0.133333333,-0.428571429,0.21686747
3391,-0.780701754,-0.198113208,2.091666667,-0.744,-0.078947368
3397,-0.972249752,-0.195558297,-0.336734694,-0.562819203,-0.011254019
3404,-0.647457627,-0.004219409,1.466666667,-0.407942238,0.313351499
3408,-0.904564315,0.030640669,2.5,-0.434977578,0.30625
3413,-1.115909091,-0.25188537,-0.158064516,-0.546341463,0.028248588
3432,-0.828422877,-0.083086053,1.429411765,-0.38791423,0.20794702
3435,-1.028594122,-0.123957092,-1.571666667,-0.488709677,0.151213441
3475,-1.156862745,-0.2,-3.35,-0.72,0
3493,-0.529045643,0.014634146,3.67,-0.371158392,0.25989673
3510,-0.952,-0.025787966,0.381818182,-0.380530973,0.224615385
3515,-0.853383459,-0.183261183,-0.275555556,-0.563218391,0.096870343
3545,-0.926517572,-0.165692008,-1.634782609,-0.580645161,0.002597403
3550,-0.77480916,-0.119760479,0.393333333,-0.416666667,0.274725275
3556,-0.895622896,0.056433409,2.715,-0.45686901,0.216783217
3561,-0.951298701,-0.022522523,2.169230769,-0.433962264,0.195876289
