country,date,avg_tone
WST,2016-12-14,0.364227642
WST,2016-12-16,-0.907439487
WST,2016-12-22,-4.104104104
WST,2017-01-17,-2.01048951
WST,2017-02-04,-4.125660376
WST,2017-02-05,-4.473684211
WST,2017-02-12,-4.3140975
WST,2017-02-13,-3.211937474
WST,2017-02-14,-2.315309135
WST,2017-02-17,-0.864936793
WST,2017-02-18,-8.421052632
WST,2017-03-06,-3.881684552
WST,2017-03-07,-5.427640424
WST,2017-03-11,-4.924242424
WST,2017-03-17,-0.242718447
WST,2017-03-21,-3.03657695
WST,2017-03-22,-3.299340132
WST,2017-03-23,-10.50093355
WST,2017-04-01,-2.371541502
WST,2017-04-07,-4.47761194
WST,2017-04-09,-1.917808219
WST,2017-04-12,-1.207400489
WST,2017-04-13,-0.553505535
WST,2017-04-20,-1.670442265
WST,2017-04-29,-4.831310835
WST,2017-04-30,-5.55456214
WST,2017-05-05,-9.375
WST,2017-05-14,-4.646115697
WST,2017-05-15,-3.428876991
WST,2017-05-16,-2.951271233
WST,2017-05-18,-1.061320755
WST,2017-05-19,-2.81030445
WST,2017-05-25,-1.653892699
WST,2017-05-28,-0.68066813
WST,2017-05-29,-2.276707531
WST,2017-05-30,-1.133333333
WST,2017-06-08,-0.371254309
WST,2017-07-06,-0.513602216
WST,2017-07-07,-1.859841226
WST,2017-07-11,-5.179856115
WST,2017-07-12,-3.85270301
WST,2017-07-13,-3.343820882
WST,2017-07-31,-5.900151286
WST,2017-08-07,-1.219512195
WST,2017-08-09,-3.819012038
WST,2017-08-10,-6.75944334
WST,2017-08-12,-1.158940397
WST,2017-08-13,-2.795698925
WST,2017-08-14,-6.551724138
WST,2017-09-01,-2.887882967
WST,2017-09-02,-3.558718861
WST,2017-09-03,-4.413564928
WST,2017-09-04,-3.044973429
WST,2017-09-05,-2.066742593
WST,2017-09-06,-3.65428427
WST,2017-09-07,-4.028305113
WST,2017-09-08,-3.267853799
WST,2017-09-09,-4.98088461
WST,2017-09-10,-3.632731092
WST,2017-09-11,-3.536122711
WST,2017-09-13,0.5859375
WST,2017-09-15,-4.028759102
